,단지코드,총세대수,임대건물구분,지역,전용면적,전용면적별세대수,빈집,임대료,노선수,버스,주차면수,등록차량수
32,C1470,696,아파트,전라북도,36.55,228,14.0,102130,0.0,2.0,645.0,553.0
33,C1470,696,아파트,전라북도,36.55,26,14.0,102130,0.0,2.0,645.0,553.0
34,C1470,696,아파트,전라북도,46.9,196,14.0,132160,0.0,2.0,645.0,553.0
35,C1470,696,아파트,전라북도,51.93,246,14.0,144180,0.0,2.0,645.0,553.0
36,C1898,566,아파트,전라북도,36.55,230,9.0,102130,0.0,6.0,517.0,415.0
37,C1898,566,아파트,전라북도,36.55,28,9.0,102130,0.0,6.0,517.0,415.0
38,C1898,566,아파트,전라북도,36.62,13,9.0,102130,0.0,6.0,517.0,415.0
39,C1898,566,아파트,전라북도,46.9,194,9.0,132160,0.0,6.0,517.0,415.0
40,C1898,566,아파트,전라북도,46.9,15,9.0,132160,0.0,6.0,517.0,415.0
41,C1898,566,아파트,전라북도,51.93,86,9.0,144180,0.0,6.0,517.0,415.0
42,C1244,1722,아파트,경기도,39.62,275,10.0,203030,0.0,10.0,1483.0,1804.0
43,C1244,1722,아파트,경기도,39.62,126,10.0,203030,0.0,10.0,1483.0,1804.0
44,C1244,1722,아파트,경기도,39.62,168,10.0,203030,0.0,10.0,1483.0,1804.0
45,C1244,1722,아파트,경기도,39.72,219,10.0,203030,0.0,10.0,1483.0,1804.0
46,C1244,1722,아파트,경기도,46.73,98,10.0,304540,0.0,10.0,1483.0,1804.0
47,C1244,1722,아파트,경기도,46.81,144,10.0,304540,0.0,10.0,1483.0,1804.0
48,C1244,1722,아파트,경기도,46.81,76,10.0,304540,0.0,10.0,1483.0,1804.0
49,C1244,1722,아파트,경기도,46.81,76,10.0,304540,0.0,10.0,1483.0,1804.0
50,C1244,1722,아파트,경기도,46.95,75,10.0,304540,0.0,10.0,1483.0,1804.0
51,C1244,1722,아파트,경기도,46.95,75,10.0,304540,0.0,10.0,1483.0,1804.0
52,C1244,1722,아파트,경기도,51.78,232,10.0,338380,0.0,10.0,1483.0,1804.0
53,C1244,1722,아파트,경기도,51.78,83,10.0,338380,0.0,10.0,1483.0,1804.0
54,C1244,1722,아파트,경기도,51.95,75,10.0,338380,0.0,10.0,1483.0,1804.0
55,C1171,624,아파트,대전광역시,33.38,190,13.0,118190,0.0,5.0,634.0,700.0
56,C1171,624,아파트,대전광역시,39.46,106,13.0,141840,0.0,5.0,634.0,700.0
57,C1171,624,아파트,대전광역시,39.46,43,13.0,141840,0.0,5.0,634.0,700.0
58,C1171,624,아파트,대전광역시,39.46,15,13.0,141840,0.0,5.0,634.0,700.0
59,C1171,624,아파트,대전광역시,46.66,38,13.0,189130,0.0,5.0,634.0,700.0
60,C1171,624,아파트,대전광역시,46.66,15,13.0,189130,0.0,5.0,634.0,700.0
61,C1171,624,아파트,대전광역시,46.87,46,13.0,189130,0.0,5.0,634.0,700.0
62,C1171,624,아파트,대전광역시,46.87,23,13.0,189130,0.0,5.0,634.0,700.0
63,C1171,624,아파트,대전광역시,46.88,78,13.0,189130,0.0,5.0,634.0,700.0
64,C1171,624,아파트,대전광역시,46.88,30,13.0,189130,0.0,5.0,634.0,700.0
65,C1171,624,아파트,대전광역시,51.96,20,13.0,236410,0.0,5.0,634.0,700.0
66,C1171,624,아파트,대전광역시,51.96,20,13.0,236410,0.0,5.0,634.0,700.0
67,C2073,361,아파트,강원도,39.63,94,13.0,144180,0.0,5.0,288.0,301.0
68,C2073,361,아파트,강원도,39.63,74,13.0,144180,0.0,5.0,288.0,301.0
69,C2073,361,아파트,강원도,46.9,97,13.0,205460,0.0,5.0,288.0,301.0
70,C2073,361,아파트,강원도,46.9,46,13.0,205460,0.0,5.0,288.0,301.0
71,C2073,361,아파트,강원도,46.96,10,13.0,205460,0.0,5.0,288.0,301.0
72,C2073,361,아파트,강원도,59.89,40,13.0,283560,0.0,5.0,288.0,301.0
73,C2513,754,아파트,광주광역시,51.88,517,15.0,192250,0.0,6.0,530.0,820.0
74,C2513,754,아파트,광주광역시,51.88,179,15.0,192250,0.0,6.0,530.0,820.0
75,C2513,754,아파트,광주광역시,51.93,58,15.0,192250,0.0,6.0,530.0,820.0
76,C1936,240,아파트,광주광역시,51.88,120,8.0,192250,0.0,10.0,168.0,234.0
77,C1936,240,아파트,광주광역시,51.88,60,8.0,192250,0.0,10.0,168.0,234.0
78,C1936,240,아파트,광주광역시,51.88,20,8.0,192250,0.0,10.0,168.0,234.0
79,C1936,240,아파트,광주광역시,51.93,40,8.0,192250,0.0,10.0,168.0,234.0
80,C2049,688,아파트,강원도,51.49,178,0.0,78230,0.0,5.0,631.0,841.0
81,C2049,688,아파트,강원도,51.95,360,0.0,88400,0.0,5.0,631.0,841.0
82,C2049,688,아파트,강원도,59.64,150,0.0,100260,0.0,5.0,631.0,841.0
83,C2202,623,아파트,강원도,37.67,89,0.0,145940,0.0,2.0,222.0,226.0
84,C2202,623,아파트,강원도,42.9,354,0.0,152280,0.0,2.0,222.0,226.0
85,C2202,623,아파트,강원도,49.44,180,0.0,171230,0.0,2.0,222.0,226.0
86,C1925,601,아파트,강원도,26.37,298,9.0,130850,0.0,4.0,117.0,75.0
87,C1925,601,아파트,강원도,31.32,298,9.0,144460,0.0,4.0,117.0,75.0
88,C1925,601,상가,강원도,32.1,1,9.0,,0.0,4.0,117.0,75.0
89,C1925,601,상가,강원도,32.1,1,9.0,,0.0,4.0,117.0,75.0
90,C1925,601,상가,강원도,32.1,1,9.0,,0.0,4.0,117.0,75.0
91,C1925,601,상가,강원도,72.16,1,9.0,,0.0,4.0,117.0,75.0
92,C2576,405,아파트,경상남도,46.9,313,19.0,161780,0.0,4.0,296.0,73.0
93,C2576,405,아파트,경상남도,59.88,92,19.0,235420,0.0,4.0,296.0,73.0
94,C1312,518,아파트,충청남도,39.72,60,12.0,122210,0.0,3.0,527.0,359.0
95,C1312,518,아파트,충청남도,39.98,89,12.0,122210,0.0,3.0,527.0,359.0
96,C1312,518,아파트,충청남도,41.55,225,12.0,130940,0.0,3.0,527.0,359.0
97,C1312,518,아파트,충청남도,46.9,143,12.0,149660,0.0,3.0,527.0,359.0
98,C1874,619,아파트,충청남도,26.37,294,2.0,69900,0.0,2.0,97.0,62.0
99,C1874,619,아파트,충청남도,26.37,149,2.0,69900,0.0,2.0,97.0,62.0
100,C1874,619,아파트,충청남도,31.32,149,2.0,83020,0.0,2.0,97.0,62.0
101,C1874,619,상가,충청남도,12.62,1,2.0,,0.0,2.0,97.0,62.0
102,C1874,619,상가,충청남도,17.4,1,2.0,,0.0,2.0,97.0,62.0
103,C1874,619,상가,충청남도,17.4,1,2.0,,0.0,2.0,97.0,62.0
104,C1874,619,상가,충청남도,22.89,1,2.0,,0.0,2.0,97.0,62.0
105,C1874,619,상가,충청남도,23.13,1,2.0,,0.0,2.0,97.0,62.0
106,C1874,619,상가,충청남도,23.13,1,2.0,,0.0,2.0,97.0,62.0
107,C1874,619,상가,충청남도,23.25,1,2.0,,0.0,2.0,97.0,62.0
108,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
109,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
110,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
111,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
112,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
113,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
114,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
115,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
116,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
117,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
118,C1874,619,상가,충청남도,27.75,1,2.0,,0.0,2.0,97.0,62.0
119,C1874,619,상가,충청남도,28.19,1,2.0,,0.0,2.0,97.0,62.0
120,C1874,619,상가,충청남도,34.8,1,2.0,,0.0,2.0,97.0,62.0
121,C1874,619,상가,충청남도,34.8,1,2.0,,0.0,2.0,97.0,62.0
122,C1874,619,상가,충청남도,42.35,1,2.0,,0.0,2.0,97.0,62.0
123,C1874,619,상가,충청남도,42.4,1,2.0,,0.0,2.0,97.0,62.0
124,C1874,619,상가,충청남도,49.37,1,2.0,,0.0,2.0,97.0,62.0
125,C1874,619,상가,충청남도,55.17,1,2.0,,0.0,2.0,97.0,62.0
126,C1874,619,상가,충청남도,55.17,1,2.0,,0.0,2.0,97.0,62.0
127,C1874,619,상가,충청남도,55.5,1,2.0,,0.0,2.0,97.0,62.0
128,C2650,875,아파트,부산광역시,36.44,557,13.0,104930,0.0,4.0,616.0,159.0
129,C2650,875,아파트,부산광역시,45.09,20,13.0,141630,0.0,4.0,616.0,159.0
130,C2650,875,아파트,부산광역시,45.32,298,13.0,141630,0.0,4.0,616.0,159.0
131,C2416,560,아파트,경상남도,26.34,360,0.0,69820,0.0,5.0,154.0,63.0
132,C2416,560,아파트,경상남도,30.48,192,0.0,80800,0.0,5.0,154.0,63.0
133,C2416,560,상가,경상남도,19.69,1,0.0,,0.0,5.0,154.0,63.0
134,C2416,560,상가,경상남도,27.12,1,0.0,,0.0,5.0,154.0,63.0
135,C2416,560,상가,경상남도,32.54,1,0.0,,0.0,5.0,154.0,63.0
136,C2416,560,상가,경상남도,36.43,1,0.0,,0.0,5.0,154.0,63.0
137,C2416,560,상가,경상남도,46.89,1,0.0,,0.0,5.0,154.0,63.0
138,C2416,560,상가,경상남도,49.99,1,0.0,,0.0,5.0,154.0,63.0
139,C2416,560,상가,경상남도,51.14,1,0.0,,0.0,5.0,154.0,63.0
140,C2416,560,상가,경상남도,317.17,1,0.0,,0.0,5.0,154.0,63.0
141,C2013,595,아파트,경상남도,36.02,90,3.0,37360,0.0,3.0,509.0,91.0
142,C2013,595,아파트,경상남도,36.38,237,3.0,37360,0.0,3.0,509.0,91.0
143,C2013,595,아파트,경상남도,45.88,267,3.0,45180,0.0,3.0,509.0,91.0
144,C1424,625,아파트,대전광역시,39.99,268,2.0,198980,0.0,7.0,517.0,179.0
145,C1424,625,아파트,대전광역시,49.95,119,2.0,225100,0.0,7.0,517.0,179.0
146,C1424,625,아파트,대전광역시,49.95,237,2.0,225100,0.0,7.0,517.0,179.0
147,C2100,880,아파트,대전광역시,51.51,46,4.0,89210,0.0,5.0,736.0,671.0
148,C2100,880,아파트,대전광역시,51.59,35,4.0,89210,0.0,5.0,736.0,671.0
149,C2100,880,아파트,대전광역시,51.9,589,4.0,89210,0.0,5.0,736.0,671.0
150,C2100,880,아파트,대전광역시,59.91,118,4.0,111520,0.0,5.0,736.0,671.0
151,C2100,880,아파트,대전광역시,59.94,46,4.0,111520,0.0,5.0,736.0,671.0
152,C2100,880,아파트,대전광역시,59.99,46,4.0,111520,0.0,5.0,736.0,671.0
153,C2621,1396,아파트,대전광역시,26.37,890,26.0,79980,1.0,4.0,277.0,133.0
154,C2621,1396,아파트,대전광역시,26.37,141,26.0,79980,1.0,4.0,277.0,133.0
155,C2621,1396,아파트,대전광역시,26.37,20,26.0,79980,1.0,4.0,277.0,133.0
156,C2621,1396,아파트,대전광역시,26.37,20,26.0,79980,1.0,4.0,277.0,133.0
157,C2621,1396,아파트,대전광역시,31.32,298,26.0,94990,1.0,4.0,277.0,133.0
158,C2621,1396,아파트,대전광역시,52.74,9,26.0,159960,1.0,4.0,277.0,133.0
159,C2621,1396,아파트,대전광역시,52.74,4,26.0,159960,1.0,4.0,277.0,133.0
160,C2621,1396,아파트,대전광역시,52.74,4,26.0,159960,1.0,4.0,277.0,133.0
161,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
162,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
163,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
164,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
165,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
166,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
167,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
168,C2621,1396,상가,대전광역시,31.84,1,26.0,,1.0,4.0,277.0,133.0
169,C2621,1396,상가,대전광역시,63.68,1,26.0,,1.0,4.0,277.0,133.0
170,C2621,1396,상가,대전광역시,137.49,1,26.0,,1.0,4.0,277.0,133.0
171,C2520,970,아파트,대전광역시,39.69,960,2.0,177500,0.0,2.0,420.0,386.0
172,C2319,606,아파트,대전광역시,51.86,98,1.0,236220,1.0,12.0,548.0,266.0
173,C2319,606,아파트,대전광역시,51.91,83,1.0,236470,1.0,12.0,548.0,266.0
174,C2319,606,아파트,대전광역시,51.96,157,1.0,236710,1.0,12.0,548.0,266.0
175,C2319,606,아파트,대전광역시,59.57,267,1.0,273790,1.0,12.0,548.0,266.0
176,C1616,1507,아파트,대전광역시,26.37,588,1.0,79980,0.0,2.0,407.0,98.0
177,C1616,1507,아파트,대전광역시,31.32,450,1.0,94990,0.0,2.0,407.0,98.0
178,C1616,1507,아파트,대전광역시,40.32,450,1.0,28140,0.0,2.0,407.0,98.0
179,C1616,1507,상가,대전광역시,38.0,1,1.0,,0.0,2.0,407.0,98.0
180,C1616,1507,상가,대전광역시,38.0,1,1.0,,0.0,2.0,407.0,98.0
181,C1616,1507,상가,대전광역시,37.26,1,1.0,,0.0,2.0,407.0,98.0
182,C1616,1507,상가,대전광역시,37.41,1,1.0,,0.0,2.0,407.0,98.0
183,C1616,1507,상가,대전광역시,37.41,1,1.0,,0.0,2.0,407.0,98.0
184,C1616,1507,상가,대전광역시,37.41,1,1.0,,0.0,2.0,407.0,98.0
185,C1616,1507,상가,대전광역시,37.49,1,1.0,,0.0,2.0,407.0,98.0
186,C1616,1507,상가,대전광역시,37.95,1,1.0,,0.0,2.0,407.0,98.0
187,C1616,1507,상가,대전광역시,37.95,1,1.0,,0.0,2.0,407.0,98.0
188,C1616,1507,상가,대전광역시,38.04,1,1.0,,0.0,2.0,407.0,98.0
189,C1616,1507,상가,대전광역시,39.33,1,1.0,,0.0,2.0,407.0,98.0
190,C1616,1507,상가,대전광역시,39.33,1,1.0,,0.0,2.0,407.0,98.0
191,C1616,1507,상가,대전광역시,39.33,1,1.0,,0.0,2.0,407.0,98.0
192,C1616,1507,상가,대전광역시,54.51,1,1.0,,0.0,2.0,407.0,98.0
193,C1616,1507,상가,대전광역시,54.61,1,1.0,,0.0,2.0,407.0,98.0
194,C1616,1507,상가,대전광역시,54.91,1,1.0,,0.0,2.0,407.0,98.0
195,C1616,1507,상가,대전광역시,75.98,1,1.0,,0.0,2.0,407.0,98.0
196,C1616,1507,상가,대전광역시,109.11,1,1.0,,0.0,2.0,407.0,98.0
197,C1616,1507,상가,대전광역시,583.4,1,1.0,,0.0,2.0,407.0,98.0
198,C1704,639,아파트,대전광역시,39.3,204,34.0,119190,0.0,7.0,162.0,131.0
199,C1704,639,아파트,대전광역시,39.69,420,34.0,120370,0.0,7.0,162.0,131.0
200,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
201,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
202,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
203,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
204,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
205,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
206,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
207,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
208,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
209,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
210,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
211,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
212,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
213,C1704,639,상가,대전광역시,31.84,1,34.0,,0.0,7.0,162.0,131.0
214,C1704,639,상가,대전광역시,126.65,1,34.0,,0.0,7.0,162.0,131.0
215,C2258,965,아파트,대전광역시,26.37,588,13.0,79980,0.0,3.0,287.0,78.0
216,C2258,965,아파트,대전광역시,31.32,180,13.0,94990,0.0,3.0,287.0,78.0
217,C2258,965,아파트,대전광역시,40.32,180,13.0,122290,0.0,3.0,287.0,78.0
218,C2258,965,상가,대전광역시,19.0,1,13.0,,0.0,3.0,287.0,78.0
219,C2258,965,상가,대전광역시,14.1,1,13.0,,0.0,3.0,287.0,78.0
220,C2258,965,상가,대전광역시,19.31,1,13.0,,0.0,3.0,287.0,78.0
221,C2258,965,상가,대전광역시,21.19,1,13.0,,0.0,3.0,287.0,78.0
222,C2258,965,상가,대전광역시,21.19,1,13.0,,0.0,3.0,287.0,78.0
223,C2258,965,상가,대전광역시,22.95,1,13.0,,0.0,3.0,287.0,78.0
224,C2258,965,상가,대전광역시,23.4,1,13.0,,0.0,3.0,287.0,78.0
225,C2258,965,상가,대전광역시,23.4,1,13.0,,0.0,3.0,287.0,78.0
226,C2258,965,상가,대전광역시,23.4,1,13.0,,0.0,3.0,287.0,78.0
227,C2258,965,상가,대전광역시,23.4,1,13.0,,0.0,3.0,287.0,78.0
228,C2258,965,상가,대전광역시,27.23,1,13.0,,0.0,3.0,287.0,78.0
229,C2258,965,상가,대전광역시,31.85,1,13.0,,0.0,3.0,287.0,78.0
230,C2258,965,상가,대전광역시,32.29,1,13.0,,0.0,3.0,287.0,78.0
231,C2258,965,상가,대전광역시,35.13,1,13.0,,0.0,3.0,287.0,78.0
232,C2258,965,상가,대전광역시,36.47,1,13.0,,0.0,3.0,287.0,78.0
233,C2258,965,상가,대전광역시,50.08,1,13.0,,0.0,3.0,287.0,78.0
234,C2258,965,상가,대전광역시,240.22,1,13.0,,0.0,3.0,287.0,78.0
235,C1032,946,아파트,대전광역시,39.65,68,6.0,118580,1.0,2.0,986.0,316.0
236,C1032,946,아파트,대전광역시,46.47,69,6.0,149810,1.0,2.0,986.0,316.0
237,C1032,946,아파트,대전광역시,51.84,63,6.0,187260,1.0,2.0,986.0,316.0
238,C1032,946,아파트,대전광역시,51.92,251,6.0,187260,1.0,2.0,986.0,316.0
239,C1032,946,아파트,대전광역시,59.99,171,6.0,230950,1.0,2.0,986.0,316.0
240,C1032,946,아파트,대전광역시,59.99,324,6.0,230950,1.0,2.0,986.0,316.0
241,C2038,785,아파트,대전광역시,26.37,588,7.0,79980,1.0,10.0,150.0,108.0
242,C2038,785,아파트,대전광역시,31.32,90,7.0,94990,1.0,10.0,150.0,108.0
243,C2038,785,아파트,대전광역시,40.32,90,7.0,122290,1.0,10.0,150.0,108.0
244,C2038,785,상가,대전광역시,19.0,1,7.0,,1.0,10.0,150.0,108.0
245,C2038,785,상가,대전광역시,14.1,1,7.0,,1.0,10.0,150.0,108.0
246,C2038,785,상가,대전광역시,19.31,1,7.0,,1.0,10.0,150.0,108.0
247,C2038,785,상가,대전광역시,21.19,1,7.0,,1.0,10.0,150.0,108.0
248,C2038,785,상가,대전광역시,21.19,1,7.0,,1.0,10.0,150.0,108.0
249,C2038,785,상가,대전광역시,22.95,1,7.0,,1.0,10.0,150.0,108.0
250,C2038,785,상가,대전광역시,23.4,1,7.0,,1.0,10.0,150.0,108.0
251,C2038,785,상가,대전광역시,23.4,1,7.0,,1.0,10.0,150.0,108.0
252,C2038,785,상가,대전광역시,23.4,1,7.0,,1.0,10.0,150.0,108.0
253,C2038,785,상가,대전광역시,23.4,1,7.0,,1.0,10.0,150.0,108.0
254,C2038,785,상가,대전광역시,27.23,1,7.0,,1.0,10.0,150.0,108.0
255,C2038,785,상가,대전광역시,31.85,1,7.0,,1.0,10.0,150.0,108.0
256,C2038,785,상가,대전광역시,32.29,1,7.0,,1.0,10.0,150.0,108.0
257,C2038,785,상가,대전광역시,35.13,1,7.0,,1.0,10.0,150.0,108.0
258,C2038,785,상가,대전광역시,36.47,1,7.0,,1.0,10.0,150.0,108.0
259,C2038,785,상가,대전광역시,50.08,1,7.0,,1.0,10.0,150.0,108.0
260,C2038,785,상가,대전광역시,240.22,1,7.0,,1.0,10.0,150.0,108.0
261,C1859,2424,아파트,대전광역시,26.37,1865,1.0,79980,1.0,4.0,487.0,116.0
262,C1859,2424,아파트,대전광역시,26.37,10,1.0,79980,1.0,4.0,487.0,116.0
263,C1859,2424,아파트,대전광역시,26.37,10,1.0,79980,1.0,4.0,487.0,116.0
264,C1859,2424,아파트,대전광역시,31.32,478,1.0,94990,1.0,4.0,487.0,116.0
265,C1859,2424,아파트,대전광역시,52.74,26,1.0,159960,1.0,4.0,487.0,116.0
266,C1859,2424,상가,대전광역시,38.0,1,1.0,,1.0,4.0,487.0,116.0
267,C1859,2424,상가,대전광역시,38.0,1,1.0,,1.0,4.0,487.0,116.0
268,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
269,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
270,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
271,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
272,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
273,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
274,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
275,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
276,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
277,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
278,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
279,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
280,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
281,C1859,2424,상가,대전광역시,31.84,1,1.0,,1.0,4.0,487.0,116.0
282,C1859,2424,상가,대전광역시,37.26,1,1.0,,1.0,4.0,487.0,116.0
283,C1859,2424,상가,대전광역시,37.41,1,1.0,,1.0,4.0,487.0,116.0
284,C1859,2424,상가,대전광역시,37.41,1,1.0,,1.0,4.0,487.0,116.0
285,C1859,2424,상가,대전광역시,37.41,1,1.0,,1.0,4.0,487.0,116.0
286,C1859,2424,상가,대전광역시,37.49,1,1.0,,1.0,4.0,487.0,116.0
287,C1859,2424,상가,대전광역시,37.95,1,1.0,,1.0,4.0,487.0,116.0
288,C1859,2424,상가,대전광역시,37.95,1,1.0,,1.0,4.0,487.0,116.0
289,C1859,2424,상가,대전광역시,38.04,1,1.0,,1.0,4.0,487.0,116.0
290,C1859,2424,상가,대전광역시,39.33,1,1.0,,1.0,4.0,487.0,116.0
291,C1859,2424,상가,대전광역시,39.33,1,1.0,,1.0,4.0,487.0,116.0
292,C1859,2424,상가,대전광역시,39.33,1,1.0,,1.0,4.0,487.0,116.0
293,C1859,2424,상가,대전광역시,54.51,1,1.0,,1.0,4.0,487.0,116.0
294,C1859,2424,상가,대전광역시,54.51,1,1.0,,1.0,4.0,487.0,116.0
295,C1859,2424,상가,대전광역시,54.51,1,1.0,,1.0,4.0,487.0,116.0
296,C1859,2424,상가,대전광역시,54.6,1,1.0,,1.0,4.0,487.0,116.0
297,C1859,2424,상가,대전광역시,54.61,1,1.0,,1.0,4.0,487.0,116.0
298,C1859,2424,상가,대전광역시,75.98,1,1.0,,1.0,4.0,487.0,116.0
299,C1859,2424,상가,대전광역시,126.65,1,1.0,,1.0,4.0,487.0,116.0
300,C1859,2424,상가,대전광역시,583.4,1,1.0,,1.0,4.0,487.0,116.0
301,C1722,809,아파트,강원도,37.67,89,1.0,189240,0.0,6.0,264.0,649.0
302,C1722,809,아파트,강원도,49.69,267,1.0,221030,0.0,6.0,264.0,649.0
303,C1722,809,아파트,강원도,49.69,149,1.0,221030,0.0,6.0,264.0,649.0
304,C1722,809,아파트,강원도,26.37,149,1.0,125000,0.0,6.0,264.0,649.0
305,C1722,809,아파트,강원도,31.32,149,1.0,138130,0.0,6.0,264.0,649.0
306,C1722,809,상가,강원도,32.1,1,1.0,,0.0,6.0,264.0,649.0
307,C1722,809,상가,강원도,32.1,1,1.0,,0.0,6.0,264.0,649.0
308,C1722,809,상가,강원도,32.1,1,1.0,,0.0,6.0,264.0,649.0
309,C1722,809,상가,강원도,32.1,1,1.0,,0.0,6.0,264.0,649.0
310,C1722,809,상가,강원도,32.1,1,1.0,,0.0,6.0,264.0,649.0
311,C1722,809,상가,강원도,72.16,1,1.0,,0.0,6.0,264.0,649.0
312,C1850,388,아파트,경상남도,39.74,89,0.0,212540,0.0,4.0,226.0,254.0
