단지코드,총세대수,임대건물구분,지역,빈집,노선수,버스,area10,area20,area30,area40,area50,area60,area70,area80,area100,주차면수,등록차량수
C2390,386,아파트,경기도,4.0,0.0,4.0,0,0,0,0,386,0,0,0,0,299.0,422.0
C2561,456,아파트,경기도,7.0,1.0,4.0,0,0,120,120,216,0,0,0,0,399.0,441.0
C1663,642,아파트,대전광역시,3.0,1.0,5.0,0,0,0,0,642,0,0,0,0,567.0,700.0
C2490,302,아파트,대구광역시,4.0,0.0,2.0,0,0,0,0,302,0,0,0,0,217.0,340.0
C2066,757,아파트,대구광역시,22.0,0.0,2.0,0,0,505,252,0,0,0,0,0,660.0,503.0
C1585,705,아파트,대구광역시,12.0,1.0,3.0,0,0,294,411,0,0,0,0,0,502.0,718.0
C2276,1072,아파트,대전광역시,18.0,0.0,4.0,0,0,0,0,1072,0,0,0,0,894.0,1159.0
C1155,375,아파트,대전광역시,9.0,1.0,10.0,0,0,0,0,375,0,0,0,0,454.0,373.0
C1693,853,아파트,대전광역시,20.0,0.0,6.0,0,0,0,125,728,0,0,0,0,862.0,1087.0
C1889,1018,아파트,경기도,14.0,0.0,2.0,0,0,177,180,661,0,0,0,0,788.0,808.0
C2518,341,아파트,강원도,11.0,0.0,2.0,0,0,0,0,341,0,0,0,0,240.0,305.0
C1962,416,아파트,강원도,9.0,0.0,3.0,0,0,0,0,416,0,0,0,0,296.0,401.0
C1666,708,아파트,전라남도,20.0,0.0,4.0,0,0,279,279,150,0,0,0,0,638.0,465.0
C1537,662,아파트,충청남도,17.0,0.0,3.0,0,0,0,0,662,0,0,0,0,546.0,669.0
C1329,1002,아파트,부산광역시,30.0,0.0,2.0,0,0,386,508,108,0,0,0,0,775.0,554.0
C1762,462,아파트,전라북도,4.0,0.0,2.0,0,0,0,0,462,0,0,0,0,325.0,460.0
C2008,781,아파트,경기도,7.0,2.0,5.0,0,0,266,248,267,0,0,0,0,663.0,548.0
C1319,496,아파트,경상남도,16.0,0.0,1.0,0,82,204,82,128,0,0,0,0,428.0,398.0
C1141,630,아파트,경상남도,28.0,0.0,2.0,0,0,189,159,282,0,0,0,0,637.0,620.0
C2340,512,아파트,서울특별시,15.0,0.0,3.0,0,0,512,0,0,0,0,0,0,362.0,382.0
C1929,492,아파트,충청남도,19.0,0.0,4.0,0,0,180,148,164,0,0,0,0,426.0,413.0
C1681,534,아파트,경기도,9.0,0.0,7.0,0,0,225,220,89,0,0,0,0,465.0,520.0
C1184,458,아파트,경기도,4.0,0.0,3.0,0,0,202,208,48,0,0,0,0,403.0,488.0
C2383,762,아파트,경기도,14.0,0.0,3.0,0,0,278,290,194,0,0,0,0,661.0,832.0
C1579,1005,아파트,경기도,12.0,0.0,2.0,0,0,349,344,312,0,0,0,0,882.0,1158.0
C2173,775,아파트,경기도,4.0,1.0,2.0,0,0,246,336,193,0,0,0,0,665.0,745.0
C1911,890,아파트,부산광역시,21.0,1.0,2.0,0,0,0,0,890,0,0,0,0,985.0,831.0
C1638,494,아파트,전라북도,10.0,0.0,6.0,0,0,0,71,423,0,0,0,0,358.0,413.0
C2412,571,아파트,전라남도,10.0,0.0,2.0,0,0,324,175,72,0,0,0,0,492.0,487.0
C1871,550,아파트,전라남도,15.0,0.0,4.0,0,0,217,333,0,0,0,0,0,385.0,408.0
C1309,383,아파트,전라남도,15.0,0.0,4.0,0,0,87,206,90,0,0,0,0,385.0,446.0
C1527,996,아파트,경상북도,23.0,0.0,4.0,0,0,0,344,652,0,0,0,0,834.0,1150.0
C2208,882,아파트,경기도,16.0,0.0,2.0,0,0,307,437,138,0,0,0,0,755.0,840.0
C1940,615,아파트,경기도,16.0,0.0,2.0,0,0,114,373,128,0,0,0,0,527.0,709.0
C2596,470,아파트,경기도,15.0,1.0,7.0,0,0,112,287,71,0,0,0,0,405.0,480.0
C2227,477,아파트,경기도,9.0,0.0,8.0,0,0,187,176,114,0,0,0,0,413.0,505.0
C2563,496,아파트,경기도,9.0,0.0,2.0,0,0,290,206,0,0,0,0,0,425.0,449.0
C2358,1260,아파트,경상남도,24.0,0.0,8.0,0,0,554,706,0,0,0,0,0,941.0,1010.0
C1492,390,아파트,경기도,15.0,0.0,2.0,0,0,275,115,0,0,0,0,0,334.0,296.0
C1601,330,아파트,경기도,13.0,0.0,4.0,0,0,0,123,207,0,0,0,0,335.0,308.0
C1687,773,아파트,경기도,26.0,0.0,3.0,0,0,348,425,0,0,0,0,0,779.0,349.0
C1236,1124,아파트,경기도,29.0,0.0,2.0,0,0,254,870,0,0,0,0,0,1129.0,657.0
C1487,550,아파트,경기도,15.0,0.0,8.0,0,0,0,0,550,0,0,0,0,448.0,505.0
C1379,324,아파트,경기도,10.0,0.0,2.0,0,0,204,120,0,0,0,0,0,270.0,294.0
C1386,1497,아파트,전라남도,15.0,0.0,5.0,0,0,841,656,0,0,0,0,0,1100.0,1145.0
C1656,531,아파트,전라남도,7.0,0.0,2.0,0,0,104,251,176,0,0,0,0,480.0,257.0
C2526,355,아파트,경상북도,16.0,0.0,2.0,0,0,92,0,263,0,0,0,0,291.0,321.0
C1022,389,아파트,경기도,4.0,0.0,4.0,0,0,0,389,0,0,0,0,0,352.0,450.0
C1896,712,아파트,경기도,3.0,0.0,2.0,0,0,252,318,142,0,0,0,0,658.0,845.0
C1269,561,아파트,경기도,1.0,0.0,3.0,0,0,153,156,252,0,0,0,0,572.0,643.0
C1916,816,아파트,경기도,2.0,1.0,4.0,0,0,279,274,263,0,0,0,0,822.0,752.0
C2070,898,아파트,경기도,6.0,0.0,3.0,0,0,242,234,422,0,0,0,0,909.0,735.0
C1967,581,아파트,경기도,6.0,0.0,3.0,0,0,238,343,0,0,0,0,0,530.0,639.0
C2021,851,아파트,경기도,7.0,0.0,3.0,0,0,225,347,279,0,0,0,0,771.0,902.0
C1143,693,아파트,경기도,3.0,1.0,11.0,0,0,455,238,0,0,0,0,0,717.0,632.0
C2188,136,아파트,경기도,3.0,0.0,2.0,0,0,136,0,0,0,0,0,0,136.0,125.0
C2651,225,아파트,경기도,5.0,0.0,2.0,0,0,113,112,0,0,0,0,0,277.0,282.0
C2657,866,아파트,경기도,7.0,0.0,4.0,0,0,238,464,164,0,0,0,0,692.0,782.0
C2527,383,아파트,경기도,8.0,0.0,3.0,0,0,133,130,120,0,0,0,0,317.0,375.0
C2262,720,아파트,울산광역시,30.0,0.0,4.0,0,0,248,187,285,0,0,0,0,581.0,540.0
C1084,280,아파트,경상북도,2.0,0.0,2.0,0,0,96,136,48,0,0,0,0,280.0,226.0
C2530,307,아파트,강원도,19.0,0.0,5.0,0,0,53,45,209,0,0,0,0,296.0,302.0
C1046,232,아파트,강원도,9.0,0.0,4.0,0,0,174,0,58,0,0,0,0,195.0,156.0
C1761,602,아파트,강원도,18.0,0.0,2.0,0,0,150,236,216,0,0,0,0,715.0,730.0
C1102,522,아파트,강원도,21.0,0.0,7.0,0,0,180,252,90,0,0,0,0,525.0,417.0
C2420,457,아파트,대구광역시,3.0,1.0,8.0,0,0,119,78,260,0,0,0,0,537.0,505.0
C1122,808,아파트,대구광역시,7.0,2.0,2.0,0,0,219,589,0,0,0,0,0,728.0,1077.0
C2042,712,아파트,대구광역시,13.0,2.0,7.0,0,0,129,583,0,0,0,0,0,641.0,757.0
C1375,757,아파트,경상남도,21.0,0.0,12.0,0,0,0,330,427,0,0,0,0,761.0,754.0
C1410,356,아파트,충청북도,10.0,0.0,3.0,0,0,208,0,148,0,0,0,0,550.0,815.0
C1641,283,아파트,경상남도,8.0,0.0,1.0,0,0,90,86,107,0,0,0,0,227.0,268.0
C1706,467,아파트,경기도,7.0,1.0,5.0,0,0,160,0,307,0,0,0,0,403.0,362.0
C1307,506,아파트,경기도,9.0,0.0,3.0,0,0,155,164,187,0,0,0,0,436.0,504.0
C2601,243,아파트,경기도,7.0,0.0,3.0,0,0,0,0,243,0,0,0,0,214.0,281.0
C1085,525,아파트,경기도,4.0,0.0,2.0,0,0,270,255,0,0,0,0,0,422.0,521.0
C2385,445,아파트,경기도,4.0,0.0,4.0,0,0,0,240,205,0,0,0,0,404.0,552.0
C1059,514,아파트,전라북도,7.0,0.0,8.0,0,0,256,258,0,0,0,0,0,362.0,246.0
C2162,374,아파트,전라북도,7.0,0.0,1.0,0,0,0,0,374,0,0,0,0,281.0,347.0
C1819,330,아파트,전라남도,15.0,0.0,1.0,0,0,0,0,330,0,0,0,0,253.0,272.0
C2325,378,아파트,전라북도,3.0,0.0,1.0,0,0,118,176,84,0,0,0,0,265.0,293.0
C2394,277,아파트,충청남도,20.0,0.0,2.0,0,0,86,102,89,0,0,0,0,222.0,254.0
C1133,856,아파트,전라북도,10.0,0.0,3.0,0,0,356,390,110,0,0,0,0,777.0,842.0
C1281,646,아파트,전라북도,4.0,0.0,3.0,0,0,433,213,0,0,0,0,0,583.0,484.0
C1194,511,아파트,제주특별자치도,3.0,0.0,4.0,0,0,0,0,511,0,0,0,0,413.0,585.0
C2308,285,아파트,강원도,3.0,0.0,1.0,0,0,0,0,285,0,0,0,0,200.0,244.0
C2036,256,아파트,강원도,2.0,0.0,1.0,0,0,0,174,82,0,0,0,0,199.0,258.0
C1394,466,아파트,전라북도,0.0,0.0,1.0,0,0,245,221,0,0,0,0,0,329.0,271.0
C1180,314,아파트,전라북도,15.0,0.0,1.0,0,0,0,0,314,0,0,0,0,241.0,311.0
C2503,382,아파트,제주특별자치도,7.0,0.0,2.0,0,0,228,154,0,0,0,0,0,306.0,327.0
C1907,212,아파트,제주특별자치도,7.0,0.0,3.0,0,0,109,103,0,0,0,0,0,163.0,207.0
C2181,872,아파트,충청북도,15.0,0.0,6.0,0,0,542,135,195,0,0,0,0,733.0,683.0
C1768,508,아파트,충청북도,4.0,0.0,1.0,0,0,0,0,508,0,0,0,0,370.0,670.0
C1783,594,아파트,대구광역시,16.0,1.0,6.0,0,0,180,210,204,0,0,0,0,596.0,570.0
C2192,514,아파트,충청북도,16.0,0.0,2.0,0,0,352,162,0,0,0,0,0,442.0,324.0
C2346,558,아파트,충청북도,12.0,0.0,3.0,0,0,0,194,364,0,0,0,0,449.0,553.0
C2680,758,아파트,경상남도,19.0,0.0,7.0,0,0,486,272,0,0,0,0,0,564.0,590.0
C2631,812,아파트,경상남도,2.0,0.0,3.0,0,0,322,204,286,0,0,0,0,612.0,638.0
C2141,504,아파트,경상남도,2.0,0.0,6.0,0,0,120,384,0,0,0,0,0,445.0,495.0
C1569,631,아파트,경상남도,8.0,0.0,3.0,0,0,392,239,0,0,0,0,0,442.0,528.0
C2099,332,아파트,강원도,3.0,0.0,2.0,0,0,80,196,56,0,0,0,0,258.0,383.0
C2287,409,아파트,충청북도,18.0,0.0,3.0,0,0,63,281,65,0,0,0,0,330.0,284.0
C2055,773,아파트,충청북도,22.0,0.0,4.0,0,0,257,336,180,0,0,0,0,817.0,723.0
C1428,375,아파트,강원도,6.0,0.0,2.0,0,0,109,182,84,0,0,0,0,360.0,333.0
C2522,747,아파트,강원도,13.0,0.0,2.0,0,0,381,186,180,0,0,0,0,698.0,610.0
C2560,372,아파트,강원도,3.0,0.0,1.0,0,0,0,0,372,0,0,0,0,374.0,481.0
C2068,434,아파트,강원도,3.0,0.0,1.0,0,0,0,0,434,0,0,0,0,384.0,594.0
C2603,538,아파트,충청북도,9.0,0.0,2.0,0,0,0,419,119,0,0,0,0,393.0,509.0
C1965,498,아파트,충청북도,13.0,0.0,5.0,0,0,258,180,60,0,0,0,0,480.0,500.0
C1660,718,아파트,경상남도,13.0,0.0,3.0,0,0,180,178,360,0,0,0,0,550.0,512.0
C2378,818,아파트,경기도,25.0,0.0,12.0,0,0,0,0,818,0,0,0,0,640.0,901.0
C1268,1035,아파트,경기도,21.0,0.0,16.0,0,0,384,453,198,0,0,0,0,911.0,934.0
C1994,431,아파트,경상남도,3.0,0.0,1.0,0,0,0,203,228,0,0,0,0,319.0,496.0
C1837,467,아파트,경상남도,21.0,0.0,4.0,0,0,232,117,118,0,0,0,0,366.0,398.0
C1000,566,아파트,충청북도,10.0,0.0,1.0,0,0,419,72,75,0,0,0,0,438.0,481.0
C1465,861,아파트,충청북도,26.0,0.0,4.0,0,0,552,309,0,0,0,0,0,812.0,557.0
C1448,1116,아파트,광주광역시,25.0,0.0,2.0,0,0,0,640,476,0,0,0,0,1050.0,1284.0
C1516,456,아파트,전라남도,8.0,0.0,1.0,0,0,314,142,0,0,0,0,0,367.0,475.0
C2670,648,아파트,전라북도,9.0,0.0,2.0,0,0,504,0,144,0,0,0,0,600.0,435.0
C1365,875,아파트,경기도,5.0,0.0,2.0,0,0,66,89,720,0,0,0,0,903.0,945.0
C1177,1668,아파트,대전광역시,17.0,1.0,10.0,0,0,1179,260,229,0,0,0,0,1756.0,1044.0
C1360,443,아파트,경상북도,22.0,0.0,2.0,0,0,172,199,72,0,0,0,0,362.0,375.0
C2488,1215,아파트,광주광역시,28.0,0.0,4.0,0,0,590,625,0,0,0,0,0,1105.0,1023.0
C1406,1647,아파트,대전광역시,13.0,0.0,2.0,0,0,1173,238,236,0,0,0,0,1741.0,1350.0
C1566,462,아파트,전라남도,13.0,0.0,6.0,0,0,298,80,84,0,0,0,0,387.0,284.0
C1227,806,아파트,경상남도,7.0,0.0,1.0,0,160,335,107,204,0,0,0,0,707.0,823.0
C2460,1017,아파트,경기도,17.0,0.0,3.0,0,192,339,350,136,0,0,0,0,879.0,793.0
C2486,589,아파트,경상남도,2.0,0.0,4.0,0,109,239,84,157,0,0,0,0,515.0,587.0
C2106,504,아파트,충청북도,18.0,0.0,2.0,0,0,352,152,0,0,0,0,0,434.0,353.0
C1572,937,아파트,경상남도,32.0,0.0,3.0,0,0,590,234,113,0,0,0,0,770.0,479.0
C1773,840,아파트,경기도,15.0,0.0,4.0,0,141,315,272,112,0,0,0,0,772.0,614.0
C1677,1144,아파트,경기도,9.0,0.0,4.0,0,240,378,276,250,0,0,0,0,1039.0,1101.0
C1823,553,아파트,충청북도,14.0,0.0,3.0,0,0,332,221,0,0,0,0,0,584.0,652.0
C1344,424,아파트,서울특별시,0.0,0.0,3.0,0,0,0,0,78,0,41,181,0,467.0,509.0
C2692,499,아파트,경상북도,19.0,0.0,2.0,0,0,334,105,60,0,0,0,0,409.0,437.0
C2505,200,아파트,경상북도,2.0,0.0,2.0,0,0,150,50,0,0,0,0,0,153.0,163.0
